Weight,Temp,PA,TO Climb Rate,MCP Climb Rate,OEI Climb Rate
3000,-35,5000,1710,1710,418
3000,-35,6000,1620,1620,365
3000,-35,7000,1530,1530,312
3000,-35,8000,1440,1440,259
3000,-35,9000,1349,1349,206
3000,-35,10000,1258,1258,153
3000,-35,11000,1167,1167,100
3000,-35,12000,1075,1075,46
3000,-35,13000,983,983,-7
3000,-35,14000,891,891,-61
3000,-35,15000,799,799,-115
3000,-35,16000,706,706,-168
3000,-35,17000,613,613,-222
3000,-35,18000,520,520,-278
3000,-30,0,2132,1821,665
3000,-30,1000,2044,1821,613
3000,-30,2000,1955,1821,560
3000,-30,3000,1866,1821,508
3000,-30,4000,1777,1777,455
3000,-30,5000,1687,1687,402
3000,-30,6000,1597,1597,39
3000,-30,7000,1506,1506,296
3000,-30,8000,1415,1415,243
3000,-30,9000,1324,1324,190
3000,-30,10000,1233,1233,136
3000,-30,11000,1141,1141,83
3000,-30,12000,1049,1049,29
3000,-30,13000,957,957,-25
3000,-30,14000,864,864,-75
3000,-30,15000,771,771,-132
3000,-30,16000,678,678,-186
3000,-30,17000,585,585,-240
3000,-30,18000,492,492,-294
3000,-25,0,2112,1799,650
3000,-25,1000,2023,1799,598
3000,-25,2000,1934,1799,545
3000,-25,3000,1844,1799,492
3000,-25,4000,1754,1754,439
3000,-25,5000,1664,1664,386
3000,-25,6000,1573,1573,333
3000,-25,7000,1482,1482,280
3000,-25,8000,1391,1391,227
3000,-25,9000,1299,1299,173
3000,-25,10000,1207,1207,120
3000,-25,11000,1115,1115,66
3000,-25,12000,1023,1023,12
3000,-25,13000,930,930,-42
3000,-25,14000,838,838,-95
3000,-25,15000,744,744,-149
3000,-25,16000,651,651,-203
3000,-25,17000,558,558,-257
3000,-25,18000,464,464,-311
3000,-20,0,2091,1777,636
3000,-20,1000,2002,1777,583
3000,-20,2000,1912,1777,530
3000,-20,3000,1822,1777,477
3000,-20,4000,1731,1731,424
3000,-20,5000,1641,1641,371
3000,-20,6000,1550,1550,317
3000,-20,7000,1458,1458,264
3000,-20,8000,1366,1366,210
3000,-20,9000,1275,1275,157
3000,-20,10000,1182,1182,103
3000,-20,11000,1090,1090,49
